[2025-03-02 21:09:16,411] INFO - [2025-03-02 21:09:16] Machine 1 received message from 3, Received Clock: 1, Queue Length: 3, Updated Logical Clock: 2
[2025-03-02 21:09:17,417] INFO - [2025-03-02 21:09:17] Machine 1 received message from 2, Received Clock: 1, Queue Length: 5, Updated Logical Clock: 3
[2025-03-02 21:09:18,422] INFO - [2025-03-02 21:09:18] Machine 1 received message from 3, Received Clock: 2, Queue Length: 4, Updated Logical Clock: 4
[2025-03-02 21:09:19,428] INFO - [2025-03-02 21:09:19] Machine 1 received message from 3, Received Clock: 3, Queue Length: 6, Updated Logical Clock: 5
[2025-03-02 21:09:20,429] INFO - [2025-03-02 21:09:20] Machine 1 received message from 3, Received Clock: 5, Queue Length: 6, Updated Logical Clock: 6
[2025-03-02 21:09:21,434] INFO - [2025-03-02 21:09:21] Machine 1 received message from 3, Received Clock: 6, Queue Length: 8, Updated Logical Clock: 7
[2025-03-02 21:09:22,437] INFO - [2025-03-02 21:09:22] Machine 1 received message from 2, Received Clock: 11, Queue Length: 8, Updated Logical Clock: 12
[2025-03-02 21:09:23,443] INFO - [2025-03-02 21:09:23] Machine 1 received message from 3, Received Clock: 14, Queue Length: 8, Updated Logical Clock: 15
[2025-03-02 21:09:24,447] INFO - [2025-03-02 21:09:24] Machine 1 received message from 3, Received Clock: 16, Queue Length: 11, Updated Logical Clock: 17
[2025-03-02 21:09:25,453] INFO - [2025-03-02 21:09:25] Machine 1 received message from 3, Received Clock: 17, Queue Length: 11, Updated Logical Clock: 18
[2025-03-02 21:09:26,459] INFO - [2025-03-02 21:09:26] Machine 1 received message from 3, Received Clock: 20, Queue Length: 11, Updated Logical Clock: 21
[2025-03-02 21:09:27,465] INFO - [2025-03-02 21:09:27] Machine 1 received message from 3, Received Clock: 22, Queue Length: 12, Updated Logical Clock: 23
[2025-03-02 21:09:28,472] INFO - [2025-03-02 21:09:28] Machine 1 received message from 3, Received Clock: 23, Queue Length: 13, Updated Logical Clock: 24
[2025-03-02 21:09:29,476] INFO - [2025-03-02 21:09:29] Machine 1 received message from 3, Received Clock: 27, Queue Length: 14, Updated Logical Clock: 28
[2025-03-02 21:09:30,482] INFO - [2025-03-02 21:09:30] Machine 1 received message from 2, Received Clock: 28, Queue Length: 13, Updated Logical Clock: 29
[2025-03-02 21:09:31,489] INFO - [2025-03-02 21:09:31] Machine 1 received message from 3, Received Clock: 31, Queue Length: 12, Updated Logical Clock: 32
[2025-03-02 21:09:32,496] INFO - [2025-03-02 21:09:32] Machine 1 received message from 3, Received Clock: 32, Queue Length: 12, Updated Logical Clock: 33
[2025-03-02 21:09:33,501] INFO - [2025-03-02 21:09:33] Machine 1 received message from 2, Received Clock: 32, Queue Length: 13, Updated Logical Clock: 34
[2025-03-02 21:09:34,507] INFO - [2025-03-02 21:09:34] Machine 1 received message from 3, Received Clock: 33, Queue Length: 15, Updated Logical Clock: 35
[2025-03-02 21:09:35,512] INFO - [2025-03-02 21:09:35] Machine 1 received message from 3, Received Clock: 35, Queue Length: 15, Updated Logical Clock: 36
[2025-03-02 21:09:36,514] INFO - [2025-03-02 21:09:36] Machine 1 received message from 3, Received Clock: 38, Queue Length: 14, Updated Logical Clock: 39
[2025-03-02 21:09:37,520] INFO - [2025-03-02 21:09:37] Machine 1 received message from 3, Received Clock: 42, Queue Length: 15, Updated Logical Clock: 43
[2025-03-02 21:09:38,525] INFO - [2025-03-02 21:09:38] Machine 1 received message from 3, Received Clock: 43, Queue Length: 15, Updated Logical Clock: 44
[2025-03-02 21:09:39,527] INFO - [2025-03-02 21:09:39] Machine 1 received message from 3, Received Clock: 46, Queue Length: 15, Updated Logical Clock: 47
[2025-03-02 21:09:40,529] INFO - [2025-03-02 21:09:40] Machine 1 received message from 3, Received Clock: 47, Queue Length: 15, Updated Logical Clock: 48
