[2025-03-02 19:04:03,144] INFO - [2025-03-02 19:04:03] Machine 3 received message from 1, Received Clock: 199, Queue Length: 19, Updated Logical Clock: 200
[2025-03-02 19:04:04,146] INFO - [2025-03-02 19:04:04] Machine 3 received message from 1, Received Clock: 201, Queue Length: 18, Updated Logical Clock: 202
[2025-03-02 19:04:05,151] INFO - [2025-03-02 19:04:05] Machine 3 received message from 1, Received Clock: 204, Queue Length: 18, Updated Logical Clock: 205
[2025-03-02 19:04:06,152] INFO - [2025-03-02 19:04:06] Machine 3 received message from 2, Received Clock: 206, Queue Length: 18, Updated Logical Clock: 207
[2025-03-02 19:04:07,158] INFO - [2025-03-02 19:04:07] Machine 3 received message from 1, Received Clock: 211, Queue Length: 17, Updated Logical Clock: 212
[2025-03-02 19:04:08,164] INFO - [2025-03-02 19:04:08] Machine 3 received message from 1, Received Clock: 223, Queue Length: 17, Updated Logical Clock: 224
[2025-03-02 19:04:09,169] INFO - [2025-03-02 19:04:09] Machine 3 received message from 1, Received Clock: 224, Queue Length: 17, Updated Logical Clock: 225
[2025-03-02 19:04:10,175] INFO - [2025-03-02 19:04:10] Machine 3 received message from 2, Received Clock: 223, Queue Length: 17, Updated Logical Clock: 226
[2025-03-02 19:04:11,181] INFO - [2025-03-02 19:04:11] Machine 3 received message from 1, Received Clock: 229, Queue Length: 17, Updated Logical Clock: 230
[2025-03-02 19:04:12,184] INFO - [2025-03-02 19:04:12] Machine 3 received message from 1, Received Clock: 232, Queue Length: 18, Updated Logical Clock: 233
[2025-03-02 19:04:13,190] INFO - [2025-03-02 19:04:13] Machine 3 received message from 1, Received Clock: 235, Queue Length: 20, Updated Logical Clock: 236
[2025-03-02 19:04:14,195] INFO - [2025-03-02 19:04:14] Machine 3 received message from 1, Received Clock: 236, Queue Length: 22, Updated Logical Clock: 237
[2025-03-02 19:04:15,200] INFO - [2025-03-02 19:04:15] Machine 3 received message from 1, Received Clock: 240, Queue Length: 21, Updated Logical Clock: 241
[2025-03-02 19:04:16,206] INFO - [2025-03-02 19:04:16] Machine 3 received message from 1, Received Clock: 244, Queue Length: 21, Updated Logical Clock: 245
[2025-03-02 19:04:17,211] INFO - [2025-03-02 19:04:17] Machine 3 received message from 1, Received Clock: 248, Queue Length: 21, Updated Logical Clock: 249
[2025-03-02 19:04:18,217] INFO - [2025-03-02 19:04:18] Machine 3 received message from 1, Received Clock: 249, Queue Length: 24, Updated Logical Clock: 250
[2025-03-02 19:04:19,223] INFO - [2025-03-02 19:04:19] Machine 3 received message from 1, Received Clock: 255, Queue Length: 23, Updated Logical Clock: 256
[2025-03-02 19:04:20,228] INFO - [2025-03-02 19:04:20] Machine 3 received message from 1, Received Clock: 263, Queue Length: 22, Updated Logical Clock: 264
[2025-03-02 19:04:21,230] INFO - [2025-03-02 19:04:21] Machine 3 received message from 1, Received Clock: 265, Queue Length: 21, Updated Logical Clock: 266
[2025-03-02 19:04:22,236] INFO - [2025-03-02 19:04:22] Machine 3 received message from 2, Received Clock: 272, Queue Length: 21, Updated Logical Clock: 273
[2025-03-02 19:04:23,242] INFO - [2025-03-02 19:04:23] Machine 3 received message from 1, Received Clock: 282, Queue Length: 21, Updated Logical Clock: 283
[2025-03-02 19:04:24,247] INFO - [2025-03-02 19:04:24] Machine 3 received message from 1, Received Clock: 293, Queue Length: 22, Updated Logical Clock: 294
[2025-03-02 19:04:25,252] INFO - [2025-03-02 19:04:25] Machine 3 received message from 1, Received Clock: 302, Queue Length: 22, Updated Logical Clock: 303
[2025-03-02 19:04:26,258] INFO - [2025-03-02 19:04:26] Machine 3 received message from 1, Received Clock: 305, Queue Length: 22, Updated Logical Clock: 306
[2025-03-02 19:04:27,263] INFO - [2025-03-02 19:04:27] Machine 3 received message from 2, Received Clock: 310, Queue Length: 23, Updated Logical Clock: 311
[2025-03-02 19:04:28,269] INFO - [2025-03-02 19:04:28] Machine 3 received message from 1, Received Clock: 316, Queue Length: 23, Updated Logical Clock: 317
[2025-03-02 19:04:29,270] INFO - [2025-03-02 19:04:29] Machine 3 received message from 1, Received Clock: 318, Queue Length: 23, Updated Logical Clock: 319
[2025-03-02 19:04:30,272] INFO - [2025-03-02 19:04:30] Machine 3 received message from 1, Received Clock: 323, Queue Length: 23, Updated Logical Clock: 324
[2025-03-02 19:04:31,278] INFO - [2025-03-02 19:04:31] Machine 3 received message from 1, Received Clock: 325, Queue Length: 24, Updated Logical Clock: 326
[2025-03-02 19:04:32,280] INFO - [2025-03-02 19:04:32] Machine 3 received message from 1, Received Clock: 328, Queue Length: 25, Updated Logical Clock: 329
[2025-03-02 19:04:33,286] INFO - [2025-03-02 19:04:33] Machine 3 received message from 1, Received Clock: 331, Queue Length: 26, Updated Logical Clock: 332
[2025-03-02 19:04:34,291] INFO - [2025-03-02 19:04:34] Machine 3 received message from 1, Received Clock: 334, Queue Length: 26, Updated Logical Clock: 335
[2025-03-02 19:04:35,297] INFO - [2025-03-02 19:04:35] Machine 3 received message from 1, Received Clock: 335, Queue Length: 29, Updated Logical Clock: 336
[2025-03-02 19:04:36,302] INFO - [2025-03-02 19:04:36] Machine 3 received message from 2, Received Clock: 338, Queue Length: 30, Updated Logical Clock: 339
[2025-03-02 19:04:37,307] INFO - [2025-03-02 19:04:37] Machine 3 received message from 1, Received Clock: 350, Queue Length: 30, Updated Logical Clock: 351
[2025-03-02 19:04:38,312] INFO - [2025-03-02 19:04:38] Machine 3 received message from 2, Received Clock: 345, Queue Length: 30, Updated Logical Clock: 352
[2025-03-02 19:04:39,317] INFO - [2025-03-02 19:04:39] Machine 3 received message from 1, Received Clock: 357, Queue Length: 31, Updated Logical Clock: 358
[2025-03-02 19:04:40,323] INFO - [2025-03-02 19:04:40] Machine 3 received message from 1, Received Clock: 358, Queue Length: 32, Updated Logical Clock: 359
[2025-03-02 19:04:40,951] INFO - Machine 3 shutting down.
[2025-03-02 19:04:41,329] INFO - [2025-03-02 19:04:41] Machine 3 received message from 1, Received Clock: 360, Queue Length: 31, Updated Logical Clock: 361
